0.021788,0.001099,0.000303,0.001425,0.099472,0.002181,0.006127,0.005979,0.004421,0.000190,0.067217,0.002083,0.003491,0.027109,0.144043,0.020989,0.022278,0.019930,0.241511,0.007706,0.098895,0.000030,0.046448,0.001652,0.146400,0.124670,0.000102,0.001892,0.000021,0.001229,-0.050272,-0.041637,-0.017904,-0.024997,-0.027717,-0.047404,-0.065862,-0.093439,-0.006199,-0.026527,0.041546,0.039957,0.088775,0.007691,0.047423,0.039298,0.031974,0.041045,0.017396,0.054954
0.022548,0.001147,0.000316,0.001487,0.101716,0.002285,0.006367,0.006218,0.004606,0.000200,0.069117,0.002167,0.003622,0.027953,0.147553,0.021859,0.023007,0.020568,0.246892,0.008007,0.101437,0.000032,0.047614,0.001713,0.150082,0.128127,0.000108,0.001971,0.000022,0.001279,-0.050832,-0.042124,-0.018113,-0.025293,-0.028040,-0.047943,-0.066607,-0.094456,-0.006272,-0.026841,0.042023,0.040410,0.089765,0.007782,0.047955,0.039754,0.032347,0.041499,0.017590,0.055576
0.023330,0.001197,0.000330,0.001551,0.103999,0.002393,0.006615,0.006465,0.004797,0.000212,0.071061,0.002255,0.003759,0.028819,0.151129,0.022761,0.023757,0.021224,0.252354,0.008318,0.104028,0.000034,0.048802,0.001776,0.153836,0.131655,0.000114,0.002054,0.000023,0.001331,-0.051398,-0.042618,-0.018324,-0.025592,-0.028367,-0.048488,-0.067359,-0.095482,-0.006346,-0.027158,0.042504,0.040867,0.090766,0.007873,0.048492,0.040214,0.032724,0.041957,0.017785,0.056203
0.024136,0.001249,0.000344,0.001618,0.106320,0.002507,0.006872,0.006721,0.004996,0.000223,0.073049,0.002346,0.003900,0.029707,0.154771,0.023696,0.024528,0.021897,0.257897,0.008641,0.106666,0.000036,0.050013,0.001841,0.157660,0.135255,0.000121,0.002139,0.000025,0.001384,-0.051970,-0.043116,-0.018538,-0.025894,-0.028697,-0.049039,-0.068120,-0.096519,-0.006421,-0.027479,0.042992,0.041329,0.091777,0.007966,0.049035,0.040679,0.033105,0.042421,0.017982,0.056838
0.024966,0.001302,0.000360,0.001687,0.108680,0.002625,0.007137,0.006986,0.005202,0.000236,0.075083,0.002441,0.004045,0.030619,0.158480,0.024665,0.025321,0.022588,0.263522,0.008974,0.109353,0.000038,0.051248,0.001909,0.161557,0.138927,0.000128,0.002228,0.000026,0.001440,-0.052547,-0.043620,-0.018754,-0.026200,-0.029031,-0.049596,-0.068888,-0.097565,-0.006497,-0.027803,0.043484,0.041796,0.092798,0.008059,0.049584,0.041150,0.033491,0.042888,0.018181,0.057479
0.025821,0.001358,0.000375,0.001759,0.111079,0.002748,0.007412,0.007261,0.005416,0.000249,0.077162,0.002539,0.004196,0.031555,0.162256,0.025669,0.026137,0.023298,0.269228,0.009318,0.112089,0.000041,0.052507,0.001979,0.165528,0.142671,0.000135,0.002320,0.000028,0.001498,-0.053131,-0.044130,-0.018972,-0.026509,-0.029369,-0.050158,-0.069664,-0.098622,-0.006573,-0.028132,0.043982,0.042268,0.093829,0.008154,0.050138,0.041626,0.033881,0.043361,0.018382,0.058127
0.026702,0.001417,0.000392,0.001834,0.113518,0.002876,0.007695,0.007545,0.005637,0.000263,0.079288,0.002640,0.004352,0.032516,0.166100,0.026708,0.026975,0.024027,0.275016,0.009675,0.114874,0.000043,0.053790,0.002051,0.169572,0.146488,0.000143,0.002416,0.000030,0.001558,-0.053720,-0.044646,-0.019193,-0.026822,-0.029710,-0.050727,-0.070449,-0.099689,-0.006651,-0.028464,0.044485,0.042745,0.094872,0.008250,0.050698,0.042107,0.034276,0.043838,0.018586,0.058782
0.027608,0.001477,0.000409,0.001912,0.115997,0.003010,0.007989,0.007840,0.005867,0.000277,0.081461,0.002745,0.004513,0.033501,0.170012,0.027784,0.027837,0.024774,0.280885,0.010043,0.117707,0.000046,0.055097,0.002125,0.173690,0.150379,0.000151,0.002516,0.000032,0.001620,-0.054315,-0.045168,-0.019417,-0.027138,-0.030056,-0.051301,-0.071242,-0.100766,-0.006729,-0.028800,0.044994,0.043227,0.095924,0.008347,0.051264,0.042593,0.034674,0.044320,0.018791,0.059443
0.028541,0.001540,0.000427,0.001993,0.118516,0.003150,0.008292,0.008145,0.006105,0.000292,0.083681,0.002854,0.004680,0.034511,0.173993,0.028897,0.028723,0.025542,0.286835,0.010424,0.120591,0.000049,0.056429,0.002202,0.177883,0.154344,0.000160,0.002619,0.000034,0.001684,-0.054916,-0.045695,-0.019643,-0.027459,-0.030405,-0.051882,-0.072043,-0.101853,-0.006808,-0.029140,0.045508,0.043714,0.096988,0.008445,0.051835,0.043084,0.035078,0.044806,0.018998,0.060111
0.029501,0.001605,0.000445,0.002077,0.121076,0.003295,0.008606,0.008460,0.006351,0.000308,0.085951,0.002966,0.004852,0.035547,0.178044,0.030050,0.029633,0.026329,0.292867,0.010817,0.123524,0.000052,0.057786,0.002281,0.182152,0.158383,0.000169,0.002726,0.000036,0.001751,-0.055523,-0.046229,-0.019871,-0.027782,-0.030758,-0.052469,-0.072852,-0.102951,-0.006888,-0.029484,0.046027,0.044206,0.098062,0.008544,0.052412,0.043582,0.035485,0.045298,0.019208,0.060787
